,Årstall,MtCO2
0,1960,13.0868
1,1961,13.3355
2,1962,14.0604
3,1963,14.9653
4,1964,16.1703
5,1965,16.3899
6,1966,19.5401
7,1967,19.3042
8,1968,21.1137
9,1969,22.1938
10,1970,27.9787
11,1971,27.166
12,1972,29.3951
13,1973,30.4918
14,1974,27.6947
15,1975,30.6119
16,1976,33.3482
17,1977,33.3309
18,1978,32.6508
19,1979,34.6585
20,1980,31.8127
21,1981,31.8455
22,1982,30.9567
23,1983,31.9984
24,1984,33.8698
25,1985,32.3476
26,1986,34.8577
27,1987,33.2813
28,1988,35.677
29,1989,34.2351
30,1990,35.098
31,1991,33.54
32,1992,34.468
33,1993,36.008
34,1994,37.914
35,1995,38.522
36,1996,41.594
37,1997,41.756
38,1998,41.885
39,1999,42.646
40,2000,42.171
41,2001,43.537
42,2002,42.623
43,2003,44.012
44,2004,44.357
45,2005,43.382
46,2006,43.972
47,2007,45.714
48,2008,44.837
49,2009,43.268
50,2010,45.697
51,2011,44.817
52,2012,44.342
53,2013,44.639
54,2014,45.078
55,2015,45.616
56,2016,44.8
57,2017,44.372
58,2018,44.469
59,2019,42.865
60,2020,41.283
